"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SCECHR"	"SK91LD"	"SQQBCH"	"SCFYMN"	"SM6D3B"	"SSY7BM"	"SDD4G5"	"ST2SCC"	"SQ1CGZ"	"SUNVYF"	"S6TGBG"	"SKVHMG"	"SZNYJX"	"SQYDDG"	"SHLY4A"	"SFKMCD"	"SKA8NJ"	"SZCD49"	"SSJSP9"	"SGZUHD"	"SWKRGL"	"SUTTXP"	"SASQEH"	"SUXVVU"	"SNYBEM"	"SCNXZK"	"S8APX1"	"SBWPUY"	"SC1YIM"	"SACBBR"	"S5MEZA"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SLWUQ2"	"SY34ZS"
"Anobiidae_cluster11"	"64a88f29e955b1decdb11a0cff93ea7c"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anobiidae"	"Xyletinus"	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anobiidae_cluster5"	"cd52b1988d679d303ee31280256c0120"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anobiidae"	"Dorcatoma"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthicidae_cluster1"	"347a4cea1f057519e7d3dfbdf02f57a6"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anthicidae"	"Notoxus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthocoridae_cluster1"	"5974f4c8e60fe3602707f472e3d5e02c"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Anthocoridae"	"Anthocoris"	0	363	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthocoridae_cluster15"	"aa2a9efe0d365cebdb1635ec839b22e4"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Anthocoridae"	"Orius"	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthocoridae_cluster5"	"4572268ebec47d9ff2d13764e5e166e6"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Anthocoridae"	"Temnostethus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Delia"	0	440	0	0	37117	0	8398	0	989	0	0	0	0	59934	1048	5400	7598	362	0	0	0	0	769	43421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster10"	"608928b91503315ec66c5b64540df2f8"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Emmesomyia"	0	0	0	2819	0	0	0	0	0	0	0	0	0	992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster101"	"3a8c7a73216c34300ab394b4bf790b23"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Anthomyiidae_X"	0	310	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	1248	0	0	0	0	2327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster11"	"520750716c82a5ef13e84d8a6abb0b5d"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Botanophila"	0	0	0	0	0	0	0	0	1712	0	0	5504	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster13"	"aaf73d1643aafe0cf3688579dcfbce41"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Alliopsis"	0	0	0	0	0	0	0	0	0	59967	0	0	0	0	2693	0	0	30991	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster144"	"b6c14129aca65df92f6d5c2557853b32"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Chirosia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster15"	"2e98252f4c48a4afbc46a6934b8490f1"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Lasiomma"	0	0	0	0	4676	0	4002	1721	2308	1981	0	0	0	2586	3924	4278	448	0	1343	4832	0	9805	1361	0	0	0	0	0	0	0	5258	1830	4237	0	0	0	0	0	762	3682
"Anthomyiidae_cluster168"	"84ee4354869e4964cd45d2f24e4b62f0"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Heterostylodes"	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster17"	"49d77feca95403945b9ea48a47449276"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Hylemya"	0	4085	0	3108	21748	5271	0	0	4776	2480	0	0	0	0	0	15794	4892	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10817	0	0
"Anthomyiidae_cluster18"	"fd657120d597050ca60395b7eff4b966"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Pegomya"	9102	72832	0	7245	4050	0	5782	0	4658	34050	9450	0	0	16352	39364	2598	16331	3597	20501	49465	33714	102	0	14916	0	0	150	8480	0	24004	0	0	0	0	9500	0	817	13359	10375	0
"Anthomyiidae_cluster23"	"ac1fe4e7ce56bfbfb697c58de30e4ff6"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Adia"	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster24"	"f6bdcb6c4dd93b5ba5beb78734070449"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Anthomyia"	0	0	0	1686	3812	0	0	0	5120	0	0	11396	0	11022	72	6592	12808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster3"	"3a699547121bb1b4f4d683186681f084"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Hydrophoria"	0	4729	0	0	19937	20243	0	0	1458	15920	12887	13978	0	0	13172	1176	0	3036	5097	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster32"	"4f24df5466d6c54b137c25a30c0eafbf"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Eustalomyia"	4570	0	0	0	0	0	0	0	0	1838	0	0	0	1857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster34"	"2038288a1b6b2d5ec8dfe985862fa768"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Eutrichota"	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	5325	0	0	0	0	1275	0	0	0	0	0	0	0	0	0	42810	0	1691	0
"Anthomyiidae_cluster35"	"e4aa0da03bdedf8febb8f50998f2c742"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"unclassified.Anthomyiidae"	0	3639	0	0	0	0	0	0	0	0	0	0	0	0	1382	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster6"	"7c47e1261d7f94a6ac3f7987ebdca0b5"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Zaphne"	0	2725	0	0	3982	0	0	0	567	5101	1680	0	0	0	2074	155	0	0	4864	0	0	11847	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster64"	"31ac829211f84e5449e58ee1aadd7216"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Paradelia"	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	666
"Anthomyiidae_cluster7"	"18717e488a79048e983b65fcdbcbfef0"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Mycophaga"	0	0	0	5419	0	0	0	0	0	0	0	15261	0	3718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster70"	"0d1d1089af09b498f0ef01a988b50a41"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Parapegomyia"	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster75"	"9d2fbe6b3d7d0ec7b5783225a926ef4a"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Subhylemyia"	0	0	0	0	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster77"	"6fce4ecf95d8ef071902b85bd95c2f7d"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Pegoplata"	0	0	0	0	0	0	0	0	0	960	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthribidae_cluster1"	"fc8097bb6d92281763eb4226a191fe82"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anthribidae"	"Platystomos"	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	1305	11985
