"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SCFYMN"	"SKVHMG"	"SDD4G5"	"SFKMCD"	"SM6D3B"	"SQYDDG"	"SHLY4A"	"SKA8NJ"	"SASQEH"	"ST2SCC"	"SSJSP9"	"SZCD49"	"SK91LD"	"SQ1CGZ"	"SZNYJX"	"S6TGBG"	"SCECHR"	"SUNVYF"	"SWKRGL"	"SGZUHD"	"SUXVVU"	"SSY7BM"	"SNYBEM"	"SQQBCH"	"SUTTXP"	"S8APX1"	"SLWUQ2"	"S5MEZA"	"SY34ZS"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SCNXZK"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SBWPUY"	"SC1YIM"	"SACBBR"
"Anthomyiidae_cluster34"	"2038288a1b6b2d5ec8dfe985862fa768"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Eutrichota"	0	0	0	0	0	0	0	0	0	0	0	0	0	2846	0	0	0	0	0	0	0	0	0	0	2035	824	5668	0	0	0	0	0	0	0	0	10977	0	0	0	0
"Anthomyiidae_cluster35"	"e4aa0da03bdedf8febb8f50998f2c742"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"unclassified.Anthomyiidae"	0	0	0	0	0	0	2442	0	0	0	179	0	1607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster6"	"7c47e1261d7f94a6ac3f7987ebdca0b5"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Zaphne"	0	0	0	78	4454	0	2483	0	1430	0	6373	0	5401	2003	0	1157	0	1685	0	0	0	0	0	0	21857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster64"	"31ac829211f84e5449e58ee1aadd7216"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Paradelia"	0	0	0	0	0	0	0	0	120	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	641	2146	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster7"	"18717e488a79048e983b65fcdbcbfef0"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Mycophaga"	4415	35356	0	0	0	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster70"	"0d1d1089af09b498f0ef01a988b50a41"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Parapegomyia"	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster75"	"9d2fbe6b3d7d0ec7b5783225a926ef4a"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Subhylemyia"	0	0	0	0	6054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster77"	"6fce4ecf95d8ef071902b85bd95c2f7d"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Pegoplata"	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthribidae_cluster1"	"fc8097bb6d92281763eb4226a191fe82"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anthribidae"	"Platystomos"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	37	90	0	0	0	0	0	0	0	0	0	0	0
"Anyphaenidae_cluster1"	"4f75accf843422a2ebd16d49d94dd1ac"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Anyphaenidae"	"Anyphaena"	0	45677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anystidae_cluster1"	"99ab993d53d8bfe3900cb4ac7d966dda"	"Animalia"	"Arthropoda"	"Arachnida"	"Trombidiformes"	"Anystidae"	"Anystidae_X"	0	531	69	195	0	1458	3454	145	0	1725	0	289	21843	93	0	1963	94	928	0	88	108	1793	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anystidae_cluster10"	"cf9a80253c1eb501e50930dd35776531"	"Animalia"	"Arthropoda"	"Arachnida"	"Trombidiformes"	"Anystidae"	"Anystis"	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	173	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anystidae_cluster5"	"aabee91cf1d5730ca85e901b2d712269"	"Animalia"	"Arthropoda"	"Arachnida"	"Trombidiformes"	"Anystidae"	"unclassified.Anystidae"	0	0	49	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphalaridae_cluster7"	"01b49aa9aa82d722a35b757b951f5378"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aphalaridae"	"Craspedolepta"	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphelinidae_cluster16"	"9e7469335ec7e18b81de939d25d2a846"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Aphelinidae"	"Encarsia"	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
