"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"present"	"cluster"	"ASV"	"Kingdom"	"reads"
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"ST2SCC"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	191
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SUNVYF"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	47
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SUTTXP"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	1799
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SUXEKB"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	216
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SUXVVU"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	1477
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SWKRGL"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	784
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SZCD49"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	1297
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SZNYJX"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	209
"Brassicogethes"	"Arthropoda"	"Insecta"	"Coleoptera"	"Nitidulidae"	"SQYDDG"	1	"Nitidulidae_cluster1"	"cc9adda65b25f26cccd49f9b2c14bb26"	"Animalia"	1331
"Brassicogethes"	"Arthropoda"	"Insecta"	"Coleoptera"	"Nitidulidae"	"SUXVVU"	0	"Nitidulidae_cluster1"	"cc9adda65b25f26cccd49f9b2c14bb26"	"Animalia"	48
"Buathra"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SM6D3B"	0	"Ichneumonidae_cluster21"	"804abd32ae7c10df2b0e0b8bf261b4bf"	"Animalia"	241
