"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"cluster"	"ASV"	"Kingdom"	"present"	"lys_reads"	"hom_reads"
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SSJSP9"	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	1	10766	3144
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SDD4G5"	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	1	25523	15141
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SFKMCD"	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	1	7894	4411
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SKA8NJ"	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	1	5745	447
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SQYDDG"	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	1	1141	1581
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"S6TGBG"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	1	10365	7526
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SCFYMN"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	1	4066	10375
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SKA8NJ"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	1	243	1874
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQYDDG"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	0	17206	13498
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SSJSP9"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	0	3120	3493
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SSY7BM"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	1	1157	23686
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SUNVYF"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	1	1509	10500
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SZCD49"	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	0	144	1383
"Coccinella"	"Arthropoda"	"Insecta"	"Coleoptera"	"Coccinellidae"	"S5MEZA"	"Coccinellidae_cluster1"	"95b649a6e3e61eb9b8092e3b7a2c9a79"	"Animalia"	1	122	4901
"Coccinella"	"Arthropoda"	"Insecta"	"Coleoptera"	"Coccinellidae"	"SFKMCD"	"Coccinellidae_cluster1"	"95b649a6e3e61eb9b8092e3b7a2c9a79"	"Animalia"	0	184	1196
"Coccinella"	"Arthropoda"	"Insecta"	"Coleoptera"	"Coccinellidae"	"SKA8NJ"	"Coccinellidae_cluster1"	"95b649a6e3e61eb9b8092e3b7a2c9a79"	"Animalia"	0	473	434
"Coccinella"	"Arthropoda"	"Insecta"	"Coleoptera"	"Coccinellidae"	"SQ1CGZ"	"Coccinellidae_cluster1"	"95b649a6e3e61eb9b8092e3b7a2c9a79"	"Animalia"	1	151	909
"Coccinella"	"Arthropoda"	"Insecta"	"Coleoptera"	"Coccinellidae"	"SQYDDG"	"Coccinellidae_cluster1"	"95b649a6e3e61eb9b8092e3b7a2c9a79"	"Animalia"	1	2112	6045
"Coccinella"	"Arthropoda"	"Insecta"	"Coleoptera"	"Coccinellidae"	"SUXVVU"	"Coccinellidae_cluster1"	"95b649a6e3e61eb9b8092e3b7a2c9a79"	"Animalia"	1	2823	46783
"Coccinella"	"Arthropoda"	"Insecta"	"Coleoptera"	"Coccinellidae"	"SY34ZS"	"Coccinellidae_cluster1"	"95b649a6e3e61eb9b8092e3b7a2c9a79"	"Animalia"	1	2966	7259
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"S6TGBG"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	31	0
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SCECHR"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	4497	1718
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SDD4G5"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	1	451	952
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SFKMCD"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	54	17
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SHLY4A"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	1431	336
